
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
-35.2281 -125.455  1.6 
-34.5455 -123.679  1.6 
-33.8006 -121.818  1.6 
-32.6971 -118.182  1.6 
-31.9583 -114.545  1.6 
-31.559 -110.909  1.6 
-31.4648 -107.273  1.6 
-31.6348 -103.636  1.6 
-32.0294 -100  1.6 
-32.62 -96.3636  1.6 
-33.3843 -92.7273  1.6 
-34.2963 -89.0909  1.6 
-34.5455 -88.1932  1.6 
-35.3046 -85.4545  1.6 
-36.4069 -81.8182  1.6 
-37.58 -78.1818  1.6 
-38.1818 -76.4349  1.6 
-38.845 -74.5455  1.6 
-40.3798 -70.9091  1.6 
-41.8182 -68.1612  1.6 
-42.2988 -67.2727  1.6 
-44.5608 -63.6364  1.6 
-45.4545 -62.2827  1.6 
-47.1052 -60  1.6 
-49.0909 -57.4601  1.6 
-50.1216 -56.3636  1.6 
-52.7273 -53.9537  1.6 
-54.3357 -52.7273  1.6 
-56.3636 -51.4281  1.6 
-60 -49.3349  1.6 
-60.4286 -49.0909  1.6 
-63.6364 -47.4585  1.6 
-67.2727 -45.622  1.6 
-67.6216 -45.4545  1.6 
-70.9091 -43.9316  1.6 
-74.5455 -42.4678  1.6 
-76.4129 -41.8182  1.6 
-78.1818 -41.2195  1.6 
-81.8182 -40.1077  1.6 
-85.4545 -39.0916  1.6 
-89.0284 -38.1818  1.6 
-89.0909 -38.1659  1.6 
-92.7273 -37.302  1.6 
-96.3636 -36.5179  1.6 
-100 -35.8152  1.6 
-103.636 -35.206  1.6 
-107.273 -34.7296  1.6 
-109.502 -34.5455  1.6 
-110.909 -34.4244  1.6 
-114.545 -34.3408  1.6 
-118.182 -34.5329  1.6 
-118.271 -34.5455  1.6 
-121.818 -35.0223  1.6 
-125.455 -35.8251  1.6 
-129.091 -36.8962  1.6 
-132.727 -38.1803  1.6 
-132.731 -38.1818  1.6 
-136.364 -39.5999  1.6 
-140 -41.1471  1.6 
-141.485 -41.8182  1.6 
-143.636 -42.7884  1.6 
-147.273 -44.4338  1.6 
-149.633 -45.4545  1.6 
-150.909 -46.0079  1.6 
-154.545 -47.4414  1.6 
-158.182 -48.6641  1.6 
-159.788 -49.0909  1.6 
-161.818 -49.6376  1.6 
-165.455 -50.3522  1.6 
-169.091 -50.8511  1.6 
-172.727 -51.211  1.6 
-176.364 -51.5081  1.6 
-180 -51.8111  1.6 

-55.8984  180  1.6 
-54.4511  176.364  1.6 
-53.0421  172.727  1.6 
-52.7273  171.908  1.6 
-51.6531  169.091  1.6 
-50.2369  165.455  1.6 
-49.0909  162.599  1.6 
-48.7745  161.818  1.6 
-47.2701  158.182  1.6 
-45.7296  154.545  1.6 
-45.4545  153.911  1.6 
-44.1446  150.909  1.6 
-42.5118  147.273  1.6 
-41.8182  145.782  1.6 
-40.8024  143.636  1.6 
-38.9857  140  1.6 
-38.1818  138.491  1.6 
-37.0124  136.364  1.6 
-35.1089  132.727  1.6 
-34.5455  131.475  1.6 
-33.4395  129.091  1.6 
-32.2038  125.455  1.6 
-31.5949  121.818  1.6 
-31.7337  118.182  1.6 
-32.665  114.545  1.6 
-34.3623  110.909  1.6 
-34.5455  110.625  1.6 
-36.5623  107.273  1.6 
-38.1818  105.1  1.6 
-39.1811  103.636  1.6 
-41.8182  100.141  1.6 
-41.915  100  1.6 
-44.5263  96.3636  1.6 
-45.4545  95.2312  1.6 
-47.5391  92.7273  1.6 
-49.0909  91.1454  1.6 
-51.2417  89.0909  1.6 
-52.7273  87.8753  1.6 
-55.9938  85.4545  1.6 
-56.3636  85.2165  1.6 
-60  83.2226  1.6 
-63.6364  81.8574  1.6 
-63.7773  81.8182  1.6 
-67.2727  80.9345  1.6 
-70.9091  79.9322  1.6 
-74.5455  78.6353  1.6 
-75.4868  78.1818  1.6 
-78.1818  76.5215  1.6 
-80.2276  74.5455  1.6 
-81.8182  72.6393  1.6 
-83.0178  70.9091  1.6 
-85.2708  67.2727  1.6 
-85.4545  66.9641  1.6 
-87.4293  63.6364  1.6 
-89.0909  60.9924  1.6 
-89.7337  60  1.6 
-92.3068  56.3636  1.6 
-92.7273  55.807  1.6 
-95.2611  52.7273  1.6 
-96.3636  51.4414  1.6 
-98.6564  49.0909  1.6 
-100  47.7209  1.6 
