
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 47.3182 -20  6 
 45.4545 -18.0617  6 
 43.9731 -16.3636  6 
 41.8182 -13.8884  6 


# Contour 3, label:        3
-41.3236  136.364  3 
-41.8182  135.322  3 
-43.1484  132.727  3 
-45.3406  129.091  3 
-45.4545  128.925  3 
-48.0699  125.455  3 
-49.0909  124.228  3 
-51.3275  121.818  3 
-52.7273  120.421  3 
-55.3301  118.182  3 
-56.3636  117.337  3 
-60  115.013  3 
-61.0886  114.545  3 
-63.6364  113.511  3 
-67.2727  112.757  3 
-70.9091  112.493  3 
-74.5455  112.417  3 
-78.1818  112.29  3 
-81.8182  111.945  3 
-85.4545  111.298  3 
-86.9537  110.909  3 
-89.0909  110.333  3 
-92.7273  109.062  3 
-96.3636  107.506  3 
-96.8779  107.273  3 
-100  105.824  3 
-103.636  104.17  3 
-104.958  103.636  3 
-107.273  102.759  3 
-110.909  101.659  3 
-114.545  100.995  3 
-118.182  101.052  3 
-121.818  102.296  3 
-123.836  103.636  3 
-125.455  105.312  3 
-126.755  107.273  3 
-127.713  110.909  3 
-127.709  114.545  3 
-127.201  118.182  3 
-126.374  121.818  3 
-125.455  124.835  3 
-125.249  125.455  3 
-123.769  129.091  3 
-122.141  132.727  3 
-121.818  133.365  3 
-120.253  136.364  3 
-118.274  140  3 
-118.182  140.156  3 
-116.091  143.636  3 
-114.545  146.031  3 
-113.718  147.273  3 
-111.035  150.909  3 
-110.909  151.064  3 
-107.885  154.545  3 
-107.273  155.19  3 
-104.227  158.182  3 
-103.636  158.717  3 
-100  161.756  3 
-99.9176  161.818  3 
-96.3636  164.329  3 
-94.6358  165.455  3 
-92.7273  166.659  3 
-89.0909  168.744  3 
-88.3911  169.091  3 
-85.4545  170.546  3 
-81.8182  172.041  3 
-79.6307  172.727  3 
-78.1818  173.204  3 
-74.5455  174.019  3 
-70.9091  174.468  3 
-67.2727  174.526  3 
-63.6364  174.154  3 
-60  173.304  3 
-58.4165  172.727  3 
-56.3636  171.909  3 
-52.7273  169.927  3 
-51.5172  169.091  3 
-49.0909  167.248  3 
-47.1544  165.455  3 
-45.4545  163.649  3 
-44.0156  161.818  3 
-41.8182  158.212  3 
-41.803  158.182  3 
