
# Surface 0 of 1 surfaces

# Curve title: "'test.dat'"

# Contour 0, label:      565
-62.0168  6.37195  300 
-62.6127  7.56303  300 
-64.0618  10.5882  300 
-65.042  12.668  300 
-65.5126  13.6134  300 
-66.998  16.6387  300 
-68.0672  18.803  300 
-68.4958  19.6639  300 
-69.9784  22.6891  300 
-71.0924  25.0277  300 
-71.4093  25.7143  300 
-72.7633  28.7395  300 
-74.0666  31.7647  300 
-74.1176  31.8842  300 
-75.3129  34.7899  300 


# Contour 4, label:      200
-1.51261  76.2235  200 
 1.51261  74.7041  200 
 2.62817  74.1176  200 
 4.53782  73.088  200 
 7.56303  71.3394  200 
 7.97513  71.0924  200 
 10.5882  69.4621  200 
 12.7017  68.0672  200 
 13.6134  67.4381  200 
 16.6387  65.2933  200 
 16.9947  65.042  200 
 19.6639  63.0903  200 
 21.1542  62.0168  200 
 22.6891  60.9184  200 
 25.4113  58.9916  200 
 25.7143  58.7804  200 
 28.7395  56.6785  200 
 29.7423  55.9664  200 
 31.7647  54.559  200 
 34.0556  52.9412  200 
 34.7899  52.4266  200 
 37.8151  50.2922  200 
 38.3367  49.916  200 
 40.8403  48.0207  200 
 42.1854  46.8908  200 
 43.8655  45.336  200 
 45.262  43.8655  200 
 46.8908  41.9005  200 
 47.6917  40.8403  200 
 49.7535  37.8151  200 
 49.916  37.5685  200 
 51.7023  34.7899  200 
 52.9412  32.8261  200 
 53.6131  31.7647  200 
 55.5303  28.7395  200 
 55.9664  28.0572  200 
 57.4717  25.7143  200 
 58.9916  23.3206  200 
 59.3956  22.6891  200 
 61.3938  19.6639  200 
 62.0168  18.7618  200 
 63.4644  16.6387  200 
 65.042  14.3099  200 
 65.4966  13.6134  200 
 67.449  10.5882  200 
 68.0672  9.59815  200 
 69.2878  7.56303  200 
 70.9898  4.53782  200 
 71.0924  4.34741  200 
 72.5832  1.51261  200 
 74.065 -1.51261  200 
 74.1176 -1.62327  200 
 75.4893 -4.53782  200 
 76.8549 -7.56303  200 
 77.1429 -8.20904  200 
 78.1905 -10.5882  200 
 79.489 -13.6134  200 
 80.1681 -15.2267  200 
 80.7474 -16.6387  200 
 81.9325 -19.6639  200 
 83.023 -22.6891  200 
 83.1933 -23.1754  200 
 84.0727 -25.7143  200 
 85.1109 -28.7395  200 
 86.1581 -31.7647  200 
 86.2185 -31.9325  200 
 87.2563 -34.7899  200 
 88.4051 -37.8151  200 
 89.2437 -39.8924  200 
 89.6369 -40.8403  200 
 90.9818 -43.8655  200 
 92.2689 -46.5879  200 
 92.4207 -46.8908  200 
 93.9994 -49.916  200 
 95.2941 -52.3413  200 
 95.6402 -52.9412  200 
 97.3791 -55.9664  200 
 98.3193 -57.6205  200 
 99.1877 -58.9916  200 
 101.143 -62.0168  200 
 101.345 -62.3367  200 
 103.258 -65.042  200 
 104.37 -66.8561  200 
 105.192 -68.0672  200 
 106.854 -71.0924  200 
 107.395 -72.4073  200 
 108.182 -74.1176  200 
 109.107 -77.1429  200 
 109.574 -80.1681  200 
 109.578 -83.1933  200 
 109.089 -86.2185  200 
 108.046 -89.2437  200 

